Criterion,Study Link,NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
"Inclusion Criteria:

* Children must be between 24 months and 60 months at entry into the study
* Children must have a clinical diagnosis of autism or PDD-NOS, and/or meet criteria on the ADOS for ASD or autism
* Children must have an age equivalent of 12 months or greater for non-verbal ability based on the Mullen Visual Reception and Fine Motor scales
* Caregiver and child must be available for all assessments
* Children must be able to walk independently
* Parents must be between the ages of 16 and 50 years old
* Family should be currently underserved (inability to obtain services for their child) and have limited family resources

Exclusion Criteria:

* Children must not have a seizure disorder
* Children must not have associated sensory (uncorrected hearing loss greater than 20 db or vision loss) or physical disorders that restrict mobility (e.g., cerebral palsy)
* Children must not have sustained a head injury
* Children's diagnosis of autism spectrum disorder must not be comorbid with other medical syndromes (e.g., Tuberose Sclerosis, Neurofibromatosis, Down syndrome, fragile X) or diseases
* Children must not be in foster care
* English must be the primary language spoken at home
* Parents must not have a psychiatric diagnosis or a diagnosis of mental retardation",https://clinicaltrials.gov/ct2/show/NCT00953095,NCT00953095,Unknown,COMPLETED,2009-04,Autism Spectrum Disorder,Joint Attention Intervention,"Los Angeles - United States, Tallahassee - United States, Baltimore - United States, Ann Arbor - United States, Seattle - United States",2011-12,2009-08-06,2014-09-25,INTERVENTIONAL,NA
"Inclusion Criteria:

* Men and women are eligible if they have hypertension, are not receiving antihypertensive medications, and have average office BP values within the last 6 months ≥140/90 mmHg.

Exclusion Criteria:

* Patients with hypertensive urgency will be excluded (BP ≥180/120 mmHg). We also plan to exclude those with ""compelling indications"" for an Angiotensin Converting Enzyme (ACE) inhibitor or Beta-blocker therapy (per JNC 7). These include those with; a history of diabetes (prior HbA1c ≥6.5%, fasting glucose ≥126mg/dl, a history of insulin or oral hypoglycemic use, or microalbuminuria), myocardial infarction within the last 3 years, and a known LVEF \<50%. Other safety exclusions will be; a history of chronic kidney disease (or a serum creatinine ≥1.8 mg/dL), known allergy to study medications, inability to provide consent, a history of significant non-compliance or missed appointments, a history of poorly-controlled gout and a history of falls or autonomic dysfunction and subjects aged \<21years or ≥90yrs.",https://clinicaltrials.gov/ct2/show/NCT01748123,NCT01748123,Unknown,WITHDRAWN,2016-08,Hypertension,"Chlorthalidone, Hydrochlorothiazide",Baltimore - United States,2017-06,2012-12-12,2017-08-18,INTERVENTIONAL,PHASE4
"Inclusion Criteria:

* Male and female adults aged 18-65
* Stable methadone dose (at least 21 days) verified by contacting participant's opioid treatment program
* Understand and speak English
* Urine toxicology screen negative for drugs of abuse and positive for methadone
* Participants must be without signs of intoxication as evidenced by ability to receive full dose of methadone prior to research activities.
* Presence of chronic pain (\>3 months) for the Pain group and absence of pain for the No Pain group.

Exclusion Criteria:

* Unstable psychiatric illness as assessed by the Mini International Neuropsychiatric Interview (e.g. active suicidal ideation, psychosis)
* Unstable medical illness as assessed by the study's independent medical monitor (e.g. uncontrolled hypertension, recent myocardial infarction, recent stroke, unstable angina) that may be affected by precipitated withdrawal
* Prescription opioid use besides methadone
* Acute pain process unrelated to chronic pain
* Women who are pregnant or lactating
* Known allergy to naloxone",https://clinicaltrials.gov/ct2/show/NCT04473950,NCT04473950,Unknown,TERMINATED,2020-01-08,"Opioid-use Disorder, Chronic Pain Syndrome","Naloxone Hydrochloride, Placebo",San Francisco - United States,2022-10-06,2020-07-16,2022-10-10,INTERVENTIONAL,PHASE1
"Inclusion Criteria:

* The patient is at least 70 years of age.
* The patient must answer 'yes' to one or more of the following questions:
* Have you fallen and hurt yourself in the past year?
* Have you fallen 2 or more times in the past year?
* Are you afraid that you might fall because of balance or walking problems?

Exclusion Criteria:

* The patient is enrolled in hospice.
* The patient resides in a nursing home.
* The patient is not capable of providing informed consent (or assent), and a proxy is not available.
* The patient does not speak English or Spanish",https://clinicaltrials.gov/ct2/show/NCT02475850,NCT02475850,STRIDE,COMPLETED,2015-08,"Accidental Falls, Wounds and Injuries","Evidence-based tailored fall prevention, Usual care","Torrance - United States, Des Moines - United States, Baltimore - United States, Boston - United States, Worcester - United States, Ann Arbor - United States, Duluth - United States, New York - United States, Pittsburgh - United States, Galveston - United States",2019-12,2015-06-19,2021-03-03,INTERVENTIONAL,PHASE3
"Inclusion Criteria:

* All patients and family members 18 years of age or older with inherited cardiac arrhythmias including LQTS, Brugada Syndrome (BrS), cathecholaminergic polymorphic ventricular tachycardia (CPVT) or early repolarization syndrome (ERS) are eligible for enrollment.
* All enrolled patients will have undergone clinically indicated genetic testing.

Exclusion Criteria:

* Age \<18 years
* \>85 years
* pregnant women
* life-limiting co-morbidities
* immunocompromise",https://clinicaltrials.gov/ct2/show/NCT02413450,NCT02413450,Unknown,ENROLLING_BY_INVITATION,2013-08,"Inherited Cardiac Arrythmias, Long QT Syndrome (LQTS), Brugada Syndrome (BrS), Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT), Early Repolarization Syndrome (ERS), Arrhythmogenic Cardiomyopathy (AC, ARVD/C), Hypertrophic Cardiomyopathy (HCM), Dilated Cardiomyopathy (DCM), Muscular Dystrophies (Duchenne, Becker, Myotonic Dystrophy), Normal Control Subjects",No interventions listed,Baltimore - United States,2030-08,2015-04-10,2025-01-31,OBSERVATIONAL,Not Available
"Inclusion Criteria:

Patients interested in study participation must meet all of the following inclusion criteria:

* May be male or female
* Must be between 18 years and 65 years of age
* Must have a below the knee amputation.
* Must be using a prosthetic for the vicinity of 3 months or have had osteo-integration of a prosthetic in place for 1 month.
* In the opinion of the investigator, must be medically able to undergo the administration of study material determined by laboratory tests obtained within 7 days before baseline for which the investigator identified no clinically significant abnormality.
* Be able to comprehend the informed consent document and provide consent for participation
* Females of childbearing potential must:

  * have a negative pregnancy test at screening
  * agree to not become pregnant or breastfeed for the period of the study through 1 month after completion of the study
  * be willing to use a reliable form of contraception during the study
* Be willing and able to comply with the scheduled visits, biopsy/injection procedures, wound care instructions treatment plan, and other study procedures for the duration of the study.

Exclusion Criteria:

Patients meeting any of the following criteria will be ineligible for study participation:

* A skin erosion deeper than the skin dermis.
* Having received any investigational drug within 30 days prior to study entry
* An allergy history to any study materials including local anesthetic, dimethyl sulfoxide, human albumin, or bovine constituents, hetastarch, or EMLA (lidocaine 2.5% and prilocaine 2.5%).
* Pregnant, lactating, or trying to become pregnant
* A history of keloid formation
* Having a significant medical history that the investigator feels is not safe for study participation (for example, some forms of autoimmune conditions, metastatic cancer, infectious diseases such as HIV, HTLV I/II, Hepatitis B, Hepatitis C). Biopsies taken from individuals with infections that are not allowed to enter the cell therapy core will make it such that these individuals cannot participate.
* Specifically we will exclude those with autoimmune diseases affecting the skin such as lupus.
* Presence of necrotic ischemic tissue on any stump ulcers, and/or capillary refill on stump skin of greater than 3 seconds
* Active infection of the residual limb.
* Active smoker during the study
* We will also exclude those who are on chronic immunosuppressive therapies such as oral steroids, but also those on chronic topical steroids in the area of investigation.
* Recent amputee who has not yet been approved to use a prosthetic.
* Use of a prosthetic for less than 3 months.
* Amputees with neuromas of the terminal limb within the last 3 months.
* Known bleeding disorder.
* For those receiving Bellafill/collagen skin test: history of serious allergy, such as anaphylaxis.
* For whole stump injections: Have a history of congenital or idiopathic methemoglobinemia, glucose-6-phosphate deficiencies, or use of medications associated with drug-induced methemoglobinemia. (specifically: Sulfonamides, Acetaminophen, Acetanilid, Aniline dyes, Benzocaine, Chloroquine, Dapsone, Naphthalene, Nitrates and Nitrites, Nitrofurantoin, Nitroglycerin, Nitroprusside, Pamaquine, Para-aminosalicylic acid, Phenacetin, Phenobarbital, Phenytoin, Primaquine, or Quinine.)",https://clinicaltrials.gov/ct2/show/NCT03947450,NCT03947450,Unknown,RECRUITING,2019-09-05,"Amputation, Skin Wound, Stem Cell","Autologous Skin Fibroblasts, Placebo",Baltimore - United States,2028-04-01,2019-05-13,2024-06-06,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Age ≥ 18 years
* COVID-19 positive by nasopharyngeal swab or serostatus
* Use of supplemental oxygen OR respiratory rate ≥ 20

Exclusion Criteria:

* BMI ≥ 45 kg/m2
* Pregnancy
* Chest tube placement
* Hemodynamic instability with mean arterial pressure \< 60 mmHg
* Thoracic or abdominal wounds
* Chest wall deformities
* Vertebral column deformities that would preclude prone positioning
* Facial trauma or surgery in the last 30 days
* Established diagnosis of interstitial lung disease
* Prior single or double lung transplant
* Surgery for spine, femur, or pelvis in the last 3 months
* Thoracic or cardiac surgery in the last 30 days
* Pacemaker placement last 7 days",https://clinicaltrials.gov/ct2/show/NCT04517123,NCT04517123,PRONE,COMPLETED,2020-09-01,"Covid19, Pneumonia, Viral",Prone Positioning,"Baltimore - United States, Chapel Hill - United States, Durham - United States, Pittsburgh - United States",2021-12-31,2020-08-18,2022-01-13,INTERVENTIONAL,NA
"Inclusion Criteria:

1. 18 years or older
2. Self-identify as Black/African American
3. Have diagnosed hypertension stages 1 (130-139/80-89 mm Hg) OR 2 (\>140/90 mm Hg), determined via self-report and/or Electronic Medical Records (EMR)
4. Live in census tracts identified by Montgomery County Department of Planning52 as HFPA:

   1. Healthy Food Availability Index score is low (0-9.5),
   2. Median household income ≤185% of Federal Poverty Level
   3. \>30% households have no vehicle, Distance to supermarket \>1/4 mile.
5. Participants must have refrigeration, food appliances (microwave, stove),
6. Cell phone to receive messages

Exclusion Criteria:

1. Age \<18 years
2. Type 1 or Type 2 Diabetes defined as a hemoglobin A1c ≥6.5% or diabetes treatment
3. Diagnosis of end-stage renal disease (ESRD)
4. Condition which interferes with outcome measurement (e.g., dialysis)
5. Serious medical condition which either limits life expectancy or requires active management (e.g. cancer)
6. Significant food allergies, preferences, intolerances, or dietary requirements that would interfere with diet adherence
7. Patients with cognitive impairment or other condition preventing their participation in the intervention
8. Current participation in a care management program related to health conditions (e.g., weight reduction, smoking cessation)
9. Current participation in another clinical trial that could interfere with the study protocol
10. Those planning to move out of the geographic area in 12 months
11. Unwillingness to provide informed consent
12. Other conditions or situations at the discretion of the Investigative team",https://clinicaltrials.gov/ct2/show/NCT06257550,NCT06257550,THRIVE,ENROLLING_BY_INVITATION,2024-06-10,Hypertension,"THRIVE Intervention, Active Comparator",Baltimore - United States,2025-01-31,2024-02-14,2024-09-19,INTERVENTIONAL,NA
"Inclusion Criteria:

1. Cervical radicular pain based on history and physical exam (e.g. pain radiating into one or both extremities, sensory loss, muscle weakness, Spurling's test etc.)
2. NRS arm pain score \> 3
3. MRI evidence of disc pathology consistent with symptoms

Exclusion Criteria:

1. Untreated coagulopathy
2. Previous spine surgery
3. No MRI study
4. Arm pain \> 4 years duration
5. Epidural steroid injection within past 3 years
6. Radiculopathy not resulting from disc pathology (e.g. foraminal stenosis or tumor)
7. Signs or symptoms or myelopathy or spinal cord compression
8. Previous failed trials with gabapentin or pregabalin, and nortriptyline or amitriptyline
9. Allergic reactions to gabapentin or nortriptyline
10. Referrals from surgery for diagnostic injections for surgical evaluation
11. Serious medical (e.g. congestive heart failure) or psychiatric (untreated depression) condition that might preclude optimal outcome
12. Pregnancy",https://clinicaltrials.gov/ct2/show/NCT01144923,NCT01144923,Unknown,COMPLETED,2010-06,Cervical Radiculopathy,"Gabapentin and/or Nortriptyline, Physical therapy, Epidural Steroid Injections (ESI), Combination treatment","Washington - United States, Baltimore - United States",2013-11,2010-06-16,2014-04-24,INTERVENTIONAL,NA
"Inclusion Criteria:

* 70+ years old
* Community living (within one of 28 zip codes in Baltimore)
* Has memory disorder
* Has identified study partner willing to participate
* English-speaking

Exclusion Criteria:

* Situation at the time of referral is an emergency with risk of danger to individual or others
* Presence of delirium or other rule outs for memory disorder",https://clinicaltrials.gov/ct2/show/NCT01283750,NCT01283750,Unknown,COMPLETED,2008-07,"Memory Disorders, Dementia",care coordination,Baltimore - United States,2011-12,2011-01-26,2018-11-06,INTERVENTIONAL,"PHASE2, PHASE3"
"Inclusion Criteria:

* English speaking patients in the age range 18 - 100.
* Patients suffering from Irritable Bowel Syndrome, Inflammatory Bowel Disease, Diabetes, Gastroparesis, will be included.
* Patients suffering from Collagen disorders such as Alport Syndrome, Ehlers-Danlos Syndrome, Goodpasture Syndrome.
* Patients suffering from plexiform neurofibromas.
* Patients with bariatric surgery.
* Patients with appendicitis.
* Patients with scleroderma.

Exclusion Criteria:

* Patients suffering from HIV, Hepatitis C, and other infectious diseases that require the handling of tissues in a Bio-safety level 3 environment.
* Patients suffering from infectious enteric disorders.
* Patients without any Gastrointestinal disorders (i.e. healthy volunteers).",https://clinicaltrials.gov/ct2/show/NCT04880538,NCT04880538,Unknown,COMPLETED,2021-04-26,Gastrointestinal Dysmotility,Endoscopic procedure,Baltimore - United States,2023-09-11,2021-05-10,2024-03-15,OBSERVATIONAL,Not Available
"Inclusion:

* Ability of the participant, caregiver or surrogate to provide written informed consent.
* Dementia due to Alzheimer's disease
* Stable treatment for Alzheimer's disease
* Ability for the participant's caregiver to accompany the participant to study visits and participate in the study.

Exclusion

* Presence of a brain disease that might otherwise explain the presence of dementia
* Clinically significant hallucinations or delusions
* Current treatment of antipsychotics, anticonvulsants, and other antidepressants, benzodiazepines, or other psychotropic medications
* Need for hospitalization or residence in a nursing facility",https://clinicaltrials.gov/ct2/show/NCT00086138,NCT00086138,DIADS-2,COMPLETED,2004-07,"Alzheimer's Disease, Depression","Sertraline (Zoloft), Placebo","Los Angeles - United States, Baltimore - United States, Rochester - United States, Philadelphia - United States, North Charleston - United States",2008-07,2004-06-28,2017-04-11,INTERVENTIONAL,"PHASE2, PHASE3"
"Inclusion Criteria:

* Meets criteria for alcohol dependence.
* Committed to alcohol abstinence as a treatment goal.
* Individuals will be required to identify two family members or close friends who are knowledgeable about their location, drinking behavior, and psychosocial status.

Exclusion Criteria:

* Meets criteria for any other psychoactive substance use disorder (excluding nicotine and caffeine).
* Meets criteria for a major psychiatric disorder and are in need of or currently undergoing pharmacotherapy.
* Females who are pregnant, lactating, or not using a reliable method of contraception.
* Currently experiencing a serious medical condition that would place them at risk or interfere with study participation.
* Experiencing acute hepatitis or liver failure or whose liver function test is more than 3 times normal.
* Have a history of severe allergies, multiple adverse drug reactions or known allergy to naltrexone.
* Vocabulary below the 5th grade reading level.
* Abnormal MRI scan.
* HIV infection due to the neurological sequelae.
* Significant central nervous system diseases.
* Seizure disorder or history of closed head trauma.
* Neuroendocrine disorders.
* Treatment with opiates within the last six months.",https://clinicaltrials.gov/ct2/show/NCT00000438,NCT00000438,Unknown,COMPLETED,Unknown Date,Alcoholism,naltrexone (Revia),Baltimore - United States,Unknown Date,1999-11-03,2010-05-14,INTERVENTIONAL,PHASE4
"Inclusion Criteria:

* Adults (≥22 years)
* Receive a kidney transplant at the Johns Hopkins Hospital

Exclusion Criteria:

* Non-English speaking participants",https://clinicaltrials.gov/ct2/show/NCT03427008,NCT03427008,mDOT,WITHDRAWN,2018-09-30,"Medication Adherence, Transplant; Kidney",mHealth Intervention,Baltimore - United States,2020-11-12,2018-02-09,2021-09-23,INTERVENTIONAL,NA
"Inclusion Criteria:

* Ages 14-65 years, inclusive, at the time of consent
* Pathogenic or likely pathogenic PKP2 gene mutation
* Diagnosed with ARVC and meet 2010 Modified Task Force Criteria for ARVC as affected.
* Functioning ICD

Exclusion Criteria:

* Currently receiving systemic immunosuppressive therapy, cytotoxic chemotherapy, immunoglobulin therapy or monoclonal antibody therapy
* History of clinically significant liver disease, hepatitis B virus, hepatitis C virus, human immunodeficiency virus, or tuberculosis infection
* Previously dosed with any investigational or approved gene therapy product at any time
* Concurrent participation in another interventional clinical trial unless approved by the Sponsor. Participation in a noninterventional study may be allowed at the investigator's discretion.
* History of cardiac transplant.",https://clinicaltrials.gov/ct2/show/NCT06311708,NCT06311708,RIDGE,RECRUITING,2023-01-31,Arrhythmogenic Right Ventricular Cardiomyopathy,No interventions listed,"San Francisco - United States, Aurora - United States, Baltimore - United States, Boston - United States, Rochester - United States, New York - United States, Cleveland - United States, Charleston - United States, Bron - France, Nantes - France, Paris - France, Pessac - France, Münster - Germany, Würzburg - Germany, Milano - Italy, Pavia - Italy, Malmö - Sweden, Glasgow - United Kingdom, London - United Kingdom, London - United Kingdom, London - United Kingdom",2030-03-29,2024-03-15,2024-11-01,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Participants from the GeneSTAR cohort
* Unaffected with no overt coronary artery disease or serious vascular event (stroke or peripheral vascular disease diagnosis
* Presence of an occult coronary artery disease phenotype as defined by coronary artery calcium scores about the MESA (Multiethnic Study of Atherosclerosis) 75th percentile for age sex, and race or ≥ 1 stenoses in any of the major coronary arteries or main branches of \> 50%, or coronary plaque volumetric scores above our own 75th percentile, or any combination on cardiac computed tomographic angiography (performed recently as part of the GeneSTAR study and present for all persons being recruited)/
* Presence of occult cerebrovascular disease defined as presence of white matter hyperintensities (WMH) thought to represent ischemic small vessel cerebrovascular disease, and /or the presence of lacunes (old small strokes), or the presence of an Atherosclerosis Risk in Communities Study (ARIC) silent stroke score on a visual analogue scales of 4 or more (on a scale of 0-9).
* Women who are postmenopausal.
* Women who use a reliable contraceptive method; a reliable contraceptive method will be defined as personal history of tubal ligation, ongoing use of intra-uterine device, or ongoing use of oral contraceptive pills.

Exclusion Criteria:

* Presence of any CAD or stroke, transient ischemic attacks, peripheral arterial disease
* Persons taking aspirin, NSAIDS, or any anti-coagulants who are medically unable to stop them for a two week pre-trial
* A history of allergy to aspirin or clopidogrel
* Weight \< 60kg
* Age \< 45 and \> 75 years of age
* A history of recent or any active bleeding
* Serious or current co-morbidity (AIDS, cancer)
* Pregnant women as determined by urine dipstick pregnancy test
* Any aneurysms on cranial magnetic resonance imaging/magnetic resonance angiography (obtained recently in the GeneSTAR participants)
* Blood pressure above \>=159/95mmHg
* History of a gastric or duodenal ulcer, or significant gastrointestinal disease, like regional enteritis
* Mental incompetence to make a decision to participate (developmentally disabled, and persons with diagnosed psychiatric disorders-documented in primary care records).",https://clinicaltrials.gov/ct2/show/NCT01815008,NCT01815008,PARes-I,COMPLETED,2012-10,"Platelet Aggregation, Platelet Transcriptome, Coronary Artery Disease","Clopidogrel, Aspirin",Baltimore - United States,2014-06,2013-03-20,2017-01-09,INTERVENTIONAL,PHASE4
"Inclusion Criteria:

* History of head or neck trauma as an inciting event for occipital headaches
* Occipital neuralgia headache, as diagnosed by neurologist, and as defined by the International Classification of Headache Disorders (ICHD-3). 13.4 - occipital neuralgia:

Description:

Unilateral or bilateral paroxysmal, shooting or stabbing pain in the posterior part of the scalp, in the distribution of the greater, lesser or third occipital nerves, sometimes accompanied by diminished sensation or dysaesthesia in the affected area and commonly associated with tenderness over the involved nerve(s).

Diagnostic criteria:

* Unilateral or bilateral pain fulfilling criteria B-E
* Pain is located in the distribution of the greater, lesser and/or third occipital nerves
* Pain has two of the following three characteristics:

  * recurring in paroxysmal attacks lasting from a few seconds to minutes
  * severe intensity
  * shooting, stabbing or sharp in quality
* Pain is associated with both of the following:

  * dysaesthesia and/or allodynia apparent during innocuous stimulation of the scalp and/or hair
* either or both of the following:

  * tenderness over the affected nerve branches
  * trigger points at the emergence of the greater occipital nerve or in the area of distribution of C2
* Pain is eased temporarily by local anaesthetic block of the affected nerve
* Not better accounted for by another ICHD-3 diagnosis.

Comments:

The pain of 13.4 Occipital neuralgia may reach the fronto-orbital area through trigeminocervical interneuronal connections in the trigeminal spinal nuclei.

13.4 Occipital neuralgia must be distinguished from occipital referral of pain arising from the atlantoaxial or upper zygapophyseal joints or from tender trigger points in neck muscles or their insertions.

* Age: 18-65
* Male and female

Exclusion Criteria:

* Headache of any etiology other than specified in the inclusion criteria.
* Patients with occipital referral of pain arising from the atlantoaxial or upper zygapophyseal joints or from tender trigger points in neck muscles or their insertions
* Pregnant or breastfeeding females
* Patients with significant comorbidities including short life expectancy, malignancy, degenerative central nervous system diseases, infection, severe psychiatric disorders",https://clinicaltrials.gov/ct2/show/NCT03253523,NCT03253523,Unknown,WITHDRAWN,2019-09-30,"Post-Traumatic Neuralgia, Occipital Neuralgia",Occipital neurolysis,Chicago - United States,2021-02-01,2017-08-18,2021-03-10,INTERVENTIONAL,NA
"Individuals must meet criteria for mild cognitive impairment due to Alzheimer's disease according to National Institute on Aging (NIA)/Alzheimer's Association recommendations OR be cognitively normal based on clinical and cognitive assessment in the Enrollment Visit and have at least one of the following risk factors for AD:

* Known to have at least 1 apolipoprotein E (APOE) ε4 allele;
* Subjective cognitive concerns with a T score \< 40 on the Multifactorial Memory Questionnaire Satisfaction Scale;
* A first-degree relative with dementia.

Inclusion Criteria for all subjects:

* At least 55 years of age;
* Body mass index \>17 and \<30;
* Post-menopausal (if female)
* Non-smoker;
* Availability of a study partner who has frequent contact with the subject (10+ hours/week in person and by telephone), and is able to provide an independent evaluation of functioning;
* Native English speaker;
* Good general health with no disease expected to interfere with the study;
* Willing and able to participate for the duration of the study.

Exclusion Criteria for all subjects:

* Participation in a therapeutic clinical trial at any time during the study;
* Abnormal corrected QT interval using Bazett's formula (QTcB; defined as \> 450 ms for men and \> 470 ms for women) as determined on ECG;
* Any significant neurologic disease other than suspected incipient Alzheimer's disease, such as Parkinson's disease, multi-infarct dementia, Huntington's disease, normal pressure hydrocephalus, brain tumor, progressive supranuclear palsy, seizure disorder, subdural hematoma, multiple sclerosis, or history of significant head trauma followed by persistent neurologic deficits or known structural brain abnormalities, including lacunes in critical memory structures including the hippocampus and parahippocampal cortex;
* Major depression, bipolar disorder within the past 1 year;
* History of alcohol or drug dependence;
* Any significant systemic illness or unstable medical condition, which could lead to difficulty complying with the protocol;
* General surgery within the last 3 months;
* Sensory impairment (poor vision or hearing) significant enough to interfere with ability to provide valid cognitive test data;
* Treatment within the last six months with antidepressants, neuroleptics, sedative hypnotics, or glucocorticoids;
* Treatment within the last six months with medications metabolized by the CYP2C9 or CYP2C19 enzymes, most notably clopidogrel and proton pump inhibitors;
* Concurrent use of a CYP3A inhibitor, including grapefruit juice, and St. John's Wort;
* Exceptions to these guidelines may be considered on a case-by-case basis at the discretion of the PI.",https://clinicaltrials.gov/ct2/show/NCT04601038,NCT04601038,CORT-X,RECRUITING,2021-06-28,"Mild Cognitive Impairment, Alzheimer Disease, Memory Impairment","CORT108297, Placebo",Baltimore - United States,2025-06-30,2020-10-23,2024-07-19,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Men and women over the age of 18 with ischemic or hemorrhagic stroke seen on imaging and a positive finding for pain in the area(s) affected by their stroke location will be included.
* The patients must be at least one month post-stroke but can otherwise enroll at any point.

Exclusion Criteria:

* Patients with TIA
* Patients with no evidence of stroke on MRI
* Patients with implantable devices such as pacemakers, defibrillators, spinal cord stimulators
* Patients with history of myocardial infarction in the past 6 months
* Patients with uncontrolled epilepsy
* Patients with symptomatic brain metastases",https://clinicaltrials.gov/ct2/show/NCT05563038,NCT05563038,Unknown,RECRUITING,2023-05-15,Post Stroke Pain,"Scrambler Therapy, Standard Medication Management",Baltimore - United States,2026-12,2022-10-03,2025-01-10,INTERVENTIONAL,PHASE4
"Inclusion Criteria:

* All patients on the four trial floors who miss at least one dose of VTE prophylaxis will be included in the study.

Exclusion Criteria:

* N/A",https://clinicaltrials.gov/ct2/show/NCT02402881,NCT02402881,Unknown,COMPLETED,2015-04,"Venous Thromboembolism, Deep Venous Thrombosis, Pulmonary Embolism",Patient-centered education bundle,Baltimore - United States,2018-11,2015-03-30,2020-01-06,INTERVENTIONAL,NA
"Inclusion Criteria:

* Acute onset of all of the following criteria within a 24-hour period:

  1. Bilateral infiltrates consistent with edema on frontal chest radiograph, with a duration of no more than 7 days
  2. Requires positive pressure ventilation through an endotracheal tube
  3. PaO2/FiO2 less than 200 while receiving positive end-expiratory pressure (PEEP) at more than 8 cm H2O for at least 4 hours, with a duration of no more than 7 days
  4. No clinical evidence of left atrial hypertension

Exclusion Criteria:

* Weighs less than 35 kilograms
* Receives more than 5 days of mechanical ventilation during current hospitalization
* Attending physician declines to give consent for participant to enroll
* Patient or surrogate declines or is unable to give consent
* Participation in another interventional study for ARDS in the 30 days prior to study entry
* Intracranial hypertension
* Single lung transplant
* Burns over more than 30% of the surface area of the body
* Pregnant
* Sickle (Hgb SS) or sickle-thal (Hgb SC) hemoglobin
* Pre-existing illness with a life expectancy of 6 months or less
* Physicians and family are not committed to full support (Exception: An individual will not be excluded if he/she would receive all medical care except for attempts at resuscitation from cardiac arrest)
* Severe chronic lung disease
* Prior lung resection
* More than 72 hours has passed since inclusion criteria were met",https://clinicaltrials.gov/ct2/show/NCT00399581,NCT00399581,Unknown,COMPLETED,2006-11,"Respiratory Distress Syndrome, Adult","High Frequency Oscillatory Ventilation-Hi, High Frequency Oscillatory Ventilation-Lo","Baltimore - United States, Baltimore - United States, Baltimore - United States, Columbus - United States, San Antonio - United States",2009-05,2006-11-15,2013-02-27,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Autism Spectrum Disorder (ASD) diagnosis of moderate or greater severity
* Age 3 through 12 years inclusive

Exclusion Criteria:

* Absence of a parent or legal guardian and consent
* Inability to speak/understand English language
* Seizure within 1 year of screening: This exclusion is based on the theoretical concern that cellular activation by sulforaphane might exacerbate seizures in patients with known seizure disorders. As noted in our previous trial of sulforaphane in young adult males, a seizure occurred in each of 2 participants: one during treatment (in a participant with a previously undisclosed seizure), the other 3 weeks after discontinuing sulforaphane.
* Impaired renal function (serum creatinine \> 1.2 mg/dl), impaired hepatic function (SGOT/SGPT\> 2x upper limit of normal), impaired thyroid function (Thyroid Stimulating Hormone (TSH) outside normal limits): This exclusion is based on a theoretical possibility of activation of underlying cellular metabolic abnormalities by sulforaphane. Current infection or treatment with antibiotics: this exclusion is to avoid complications of inter-current illness that may occur due to the clinical trial or obscure possible effects of sulforaphane.
* Medications that may modify the course or testing of ASD parameters (e.g., prednisone): This exclusion is necessary in order not to interfere with or complicate effects of sulforaphane.
* Chronic medical disorder (e.g., cardiovascular disease, stroke or diabetes) or major surgery within 3 months prior to enrollment: Serious medical illness in the child may be complicated by the clinical trial and make it difficult to discern a change in ASD associated with treatment.
* Less than 3 years or more than 13 years of age: this age range was selected to cover the ages from usual diagnosis of ASD up to adolescence.
* A diagnosis of autism spectrum disorder of mild severity (for example, earlier categories of Asperger disorder, Pervasive Developmental Disorder - Not Otherwise Specified (PDD-NOS)), according to Autism Diagnostic Observation Schedule (ADOS) criteria.
* Prisoners
* Pregnant women",https://clinicaltrials.gov/ct2/show/NCT02561481,NCT02561481,Unknown,COMPLETED,2015-12,Autism Spectrum Disorder,"Sulforaphane, Placebo",Worcester - United States,2018-12,2015-09-28,2020-12-17,INTERVENTIONAL,"PHASE1, PHASE2"
"Inclusion Criteria:

* Self-identified as first-generation Korean American
* Age 40 to 65 years of age
* SBP≥140 or DBP≥90mmHg on HBP medication
* resident of Greater Baltimore census tracts
* Written consent to participate in the screening/eligibility visit
* SBP≥140 or DBP≥90mmHg at the KRC HBP verification visit
* Written consent to participate in the clinical trial:agreeing to participate in study data collection procedures, receiving HBP education, using HBPMT, and permitting contact with their own medical care provider.

Exclusion Criteria:

* Acute and/or terminal condition precluding participation such as terminal cancer or acute myocardial infarction
* Psychiatric diagnosis precluding participation such as schizophrenia and cognitive impairment measured by self-report, chart review, or clinical assessment.",https://clinicaltrials.gov/ct2/show/NCT00473681,NCT00473681,HBP,COMPLETED,2003-09,High Blood Pressure,Self-Help Intervention Program-High Blood Pressure,Ellicott city - United States,2006-08,2007-05-15,2008-05-07,INTERVENTIONAL,NA
